name	2016-05-20	2016-05-21	2016-05-22	2016-05-23	2016-05-24	2016-05-25	2016-05-26	2016-05-27	2016-05-28	2016-05-29	2016-05-30	2016-05-31	2016-06-01	2016-06-02	2016-06-03	2016-06-04	2016-06-05	2016-06-06	2016-06-07	2016-06-08	2016-06-09	2016-06-10	2016-06-11	2016-06-12	2016-06-13	2016-06-14
王牌对王牌	5627	7039	6389	3257	3401	3634	3567	3845	4561	4121	2175	2581	2714	2414	2790	3237	3468	2670	3036	3105	3374	4108	4095	3074	2718	2743
甄子丹	5494	6836	6786	4656	5116	5288	5143	5835	6572	6025	4506	4453	4778	4823	5393	6127	6640	5180	5534	5424	5860	5307	5236	4832	4646	4544
奶酪陷阱韩剧	5486	6896	6299	4246	4388	2895																				
海贼王	5482	7043	9465	6066	5375	5111	4851	5958	8021	9309	5013	4457	4136	4234	5087	6498	9228	6421	5266	5989	7477	6874	6328	7358	5627	4680
夜孔雀	5448	7911	10102	6698	10284	10435	7116	5228	4512	3964	2180	2410	2220	1803	2090			1975							2036	2293
刘德华电影全集	5400	5500	5284	5088	5013	5376	4194	4785	5896	4207	3460	3998	4347	4287	4461	4933	5319	4748	4785	4693	4569	4985	4594	5086	5246	4851
吴京	5354	6225	6664	5267	5215	6091	5602	6395	6782	6086	4461	4816	4794	4946	5183	5883	6541	5878	5766	5892	6130	5639	5398	5963	5405	5417
奸臣	5341	13898	8480	4659	4155	3794	3476	4760	5988	4464	2900	3498	2994	2708	3519	4358	4724	3111	3207	3467	4449	5048	7610	5204	3922	3500
夜魔侠第一季	5299	4934	4266	2822	2309	1903																				
超人	5287	7733	7447	4318	3985	4318	4290	6074	8550	6243	3463	3532	3730	3539	4379	6300	6625	4534	5041	5395	6527	6359	5322	3647	3370	3412
我的奇妙男友电视剧	5226	7088	6138	3784	3426	3235	3070	3637	4276	3355	2018	2008	2198	3215	3188	2958	2391			2209						
澳门风云	5208	7338	5442	2875	2870	2902	2745	3706	4944	3992	2156	2185	2496	2910	4579	5754	5927	3611	3330	3933	4767	4076	3300	2431	2250	1998
欢乐喜剧人	5194	7775	6084	3633	3776	3837	3957	4169	5859	5171	3116	3259	3128	3116	3295	4502	4491	3907	3546	3591	4532	4687	4516	3493	3216	3332
灵主	5136	3675					6208	4878	3352					6126	4875	3131					5103	3129				
权利的游戏第六季	5072	4088	3789	4950	5065	3669	2920	2782		2500	2809	2694	2153	2130				2045								
蚁人	5065	7336	5874	2954	2901	2654	2817	4440	6303	4794	2386	2661	2831	2549	3296	4740	4328	3099	2914	3728	4610	4255	3291	2226	2077	1986
青春	5026	8263	6632	3487	3107	3400	3398	4994	7651	6568	3430	3098	3519	4068	53176	38502	12562	6996	6686	8150	10058	9733	7687	5341	4635	4711
约吧大明星	4994	2984						8118	5491	2913	1573	1690		2492	3509	5578	3264	1812				3016	2545			
梦想合伙人	4965	6398	5047	3047	2951	2622	2517	2900	3422	2756	1628	1568	1550	1778	1850		2454		2187	7482	7414	12028	14601	20088	14434	13590
谁是大歌神	4927	4494	5086	4122	3223	2737	2776	2893	2994	2691	2081	1794	1593	1796	1873				1968							
功夫熊猫3 英语版	4920	6527	4962	2340	2020				2910																	
上流社会	4911	6684	5066	2779	2846	2832	2718	2856	3297	3187	2006	2120	2074	2198	2321	3029	3127	2363	2194	2814	2921	3408	3168	2696	2028	1955
X战警	4902	6890	10060	8248	7484	7293	7797	10076	13204	13091	7555	8307	8130	9467	17833	28415	32347	24610	25518	26195	29811	29282	25330	21031	17043	15680
金星秀	4902	5709	4300	2444	2250	2260	4559	2417						2437							2732					
夏洛特烦恼	4819	6682	5086	2720	2642	2615	2542	3855	5471	4139	2154	2267	2292	2303	2960	4464	4287	3036	3117	3571	4746	4308	3498	2414	2311	2453
